Date;Venue;Run;Gate;ref_time;athlete_name_ref;athlete_2_time;athlete_name_athlete_2;time_difference;relative_time_difference
2024-01-24;Schladming;2;11;0.8;GSTREIN Fabio;0.866;ROCHAT Marc;-0.06599999999999995;-8.249999999999993
2024-01-24;Schladming;1;12;0.766;STRASSER Linus;0.8;YULE Daniel;-0.03400000000000003;-4.4386422976501345
2024-01-24;Schladming;2;12;0.866;GSTREIN Fabio;0.933;ROCHAT Marc;-0.06700000000000006;-7.736720554272525
2024-01-24;Schladming;1;13;0.866;STRASSER Linus;0.9;YULE Daniel;-0.03400000000000003;-3.926096997690535
2024-01-24;Schladming;2;13;0.9;GSTREIN Fabio;0.966;ROCHAT Marc;-0.06599999999999995;-7.333333333333328
2024-01-24;Schladming;1;14;0.633;STRASSER Linus;0.7;YULE Daniel;-0.06699999999999995;-10.58451816745655
2024-01-24;Schladming;2;14;0.533;GSTREIN Fabio;0.533;ROCHAT Marc;0.0;0.0
2024-01-24;Schladming;1;15;0.9;STRASSER Linus;0.9;YULE Daniel;0.0;0.0
2024-01-24;Schladming;2;15;0.533;GSTREIN Fabio;0.533;ROCHAT Marc;0.0;0.0
2024-01-24;Schladming;1;16;0.933;STRASSER Linus;0.866;YULE Daniel;0.06700000000000006;7.181136120042879
2024-01-24;Schladming;2;16;1.0;GSTREIN Fabio;1.066;ROCHAT Marc;-0.06600000000000006;-6.600000000000006
2024-01-24;Schladming;1;17;0.733;STRASSER Linus;0.833;YULE Daniel;-0.09999999999999998;-13.642564802182807
2024-01-24;Schladming;2;17;1.133;GSTREIN Fabio;1.1;ROCHAT Marc;0.03299999999999992;2.912621359223294
2024-01-24;Schladming;1;18;0.366;STRASSER Linus;0.366;YULE Daniel;0.0;0.0
2024-01-24;Schladming;2;18;1.0;GSTREIN Fabio;1.0;ROCHAT Marc;0.0;0.0
